User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U23001,18,Male,Professional,iOS,6.4,2.4,6,8.2,4,60,2,2.4
U23002,27,Other,Freelancer,iOS,9.9,2.1,3,4.1,7,13,0,8.4
U23003,25,Other,Business Owner,iOS,3.7,3.9,10,7.0,8,5,0,3.9
U23004,23,Other,Business Owner,iOS,7.8,0.7,3,7.7,9,6,0,8.7
U23005,42,Other,Freelancer,iOS,4.8,6.9,7,6.9,5,27,4,9.8
U23006,43,Male,Student,iOS,7.8,4.5,5,7.8,10,58,3,11.7
U23007,46,Female,Business Owner,iOS,3.1,5.7,8,4.4,7,56,1,3.4
U23008,32,Other,Freelancer,iOS,11.2,7.9,1,4.7,7,31,6,8.7
U23009,26,Other,Professional,Android,10.5,4.1,4,7.9,9,54,6,2.5
U23010,57,Other,Freelancer,Android,9.2,3.2,7,7.0,4,55,3,5.7
U23011,18,Other,Student,iOS,2.4,4.4,3,4.5,5,45,3,13.3
U23012,36,Female,Business Owner,Android,5.5,5.8,7,7.9,2,55,0,10.3
U23013,39,Other,Freelancer,Android,2.6,7.8,8,5.6,4,45,4,2.5
U23014,47,Other,Student,iOS,2.5,6.8,4,4.4,9,20,5,5.7
U23015,39,Male,Business Owner,iOS,6.1,3.5,2,6.9,2,58,5,8.2
U23016,54,Other,Freelancer,Android,1.3,7.3,7,7.7,4,19,5,5.4
U23017,53,Male,Student,Android,11.3,6.5,7,5.8,9,37,4,5.6
U23018,52,Male,Business Owner,Android,2.7,6.0,7,8.1,3,14,0,11.1
U23019,46,Other,Freelancer,Android,6.2,7.1,7,7.1,4,41,1,5.4
U23020,38,Male,Professional,iOS,6.3,3.3,2,8.8,7,33,2,6.4
U23021,54,Male,Freelancer,iOS,7.7,1.9,3,7.4,7,45,0,13.3
U23022,29,Male,Freelancer,iOS,11.9,0.9,6,7.7,5,6,3,5.2
U23023,23,Other,Business Owner,Android,10.9,3.9,9,6.9,10,38,4,5.7
U23024,28,Other,Freelancer,Android,6.7,3.0,3,6.6,7,18,1,2.8
U23025,55,Female,Professional,Android,4.2,0.6,3,6.4,7,45,5,9.1
U23026,55,Female,Professional,Android,9.2,6.1,9,4.7,5,45,2,11.7
U23027,45,Female,Professional,iOS,6.0,4.3,1,8.4,6,28,2,5.1
U23028,37,Male,Freelancer,iOS,3.4,5.1,3,8.6,4,55,2,6.2
U23029,28,Other,Business Owner,iOS,7.5,1.3,7,6.1,5,29,6,4.8
U23030,43,Other,Student,Android,5.4,3.4,5,8.1,3,17,6,5.7
U23031,20,Other,Student,Android,1.5,7.9,3,5.6,10,27,3,13.2
U23032,32,Female,Freelancer,iOS,2.0,7.9,7,6.5,5,59,6,4.2
U23033,33,Male,Business Owner,Android,3.2,0.7,10,5.7,8,18,6,8.4
U23034,44,Male,Professional,Android,9.8,0.7,6,4.4,1,41,5,4.8
U23035,60,Other,Business Owner,Android,2.3,2.4,10,8.5,5,10,2,10.5
U23036,29,Other,Business Owner,Android,11.6,8.0,4,8.9,5,60,5,8.4
U23037,18,Male,Professional,Android,1.5,5.1,2,7.9,6,58,3,4.6
U23038,27,Other,Student,iOS,8.8,4.8,1,8.1,7,53,3,10.9
U23039,47,Female,Student,Android,10.4,5.3,4,8.5,7,52,3,11.0
U23040,41,Male,Business Owner,iOS,10.0,5.3,7,6.9,8,12,2,8.5
U23041,40,Male,Freelancer,Android,2.4,3.0,3,6.4,6,30,5,13.3
U23042,51,Male,Professional,iOS,6.9,5.6,9,7.1,3,48,5,8.9
U23043,29,Male,Freelancer,Android,7.9,3.2,2,6.1,8,58,3,7.8
U23044,22,Other,Freelancer,iOS,2.3,3.8,4,4.2,9,60,3,11.5
U23045,34,Male,Professional,iOS,8.2,1.9,9,5.1,5,17,2,8.8
U23046,47,Female,Student,Android,8.4,4.7,4,8.7,4,14,3,4.4
U23047,47,Other,Student,iOS,4.3,1.7,1,5.6,4,52,1,2.5
U23048,19,Female,Business Owner,iOS,10.6,7.3,3,6.2,5,19,3,13.2
