User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U17001,33,Other,Business Owner,Android,10.5,6.3,2,4.2,8,56,4,7.0
U17002,37,Female,Freelancer,Android,10.7,7.1,9,4.4,2,7,6,11.0
U17003,34,Male,Student,iOS,1.7,0.8,7,7.3,10,50,6,13.1
U17004,46,Other,Business Owner,Android,7.0,3.7,5,5.4,4,40,0,3.2
U17005,45,Female,Student,iOS,4.8,7.9,3,8.7,9,48,0,5.0
U17006,39,Female,Student,Android,8.4,4.2,5,4.9,10,41,4,4.6
U17007,20,Female,Professional,Android,2.6,3.0,6,4.8,1,19,3,12.0
U17008,35,Female,Student,iOS,2.9,1.2,2,4.2,5,26,3,13.4
U17009,60,Female,Professional,iOS,8.9,6.0,10,4.1,4,47,4,13.0
U17010,47,Female,Business Owner,Android,5.0,2.1,2,5.2,3,34,5,12.3
U17011,60,Other,Freelancer,iOS,11.6,1.9,6,8.4,7,52,5,7.9
U17012,23,Other,Student,iOS,10.1,3.8,7,7.8,5,60,5,12.8
U17013,39,Male,Student,iOS,11.4,4.4,7,5.6,5,12,0,2.2
U17014,53,Female,Business Owner,iOS,9.0,5.2,8,8.8,1,41,4,12.2
U17015,20,Male,Professional,Android,2.2,0.6,7,5.1,5,59,0,3.2
U17016,26,Other,Professional,iOS,7.0,3.1,10,4.2,9,57,6,11.0
U17017,57,Male,Freelancer,iOS,3.3,5.7,9,4.4,9,47,6,12.6
U17018,18,Other,Freelancer,Android,7.1,7.7,4,5.5,4,18,0,5.7
U17019,54,Female,Freelancer,iOS,10.4,0.8,3,6.4,1,6,6,9.7
U17020,19,Female,Student,Android,9.3,1.5,2,8.4,9,43,6,3.8
U17021,37,Male,Professional,Android,9.6,3.3,8,6.3,8,43,6,6.5
U17022,42,Female,Student,iOS,2.5,7.8,5,7.5,7,8,3,5.0
U17023,30,Male,Professional,Android,9.2,5.5,10,8.6,8,25,3,9.3
U17024,48,Male,Professional,Android,3.6,1.8,9,6.3,3,46,6,10.3
U17025,42,Other,Professional,Android,4.6,0.6,9,7.0,6,50,0,2.9
U17026,42,Male,Business Owner,Android,2.6,6.5,2,5.5,7,32,0,2.8
U17027,20,Other,Business Owner,Android,1.5,6.7,1,7.7,5,32,2,3.0
U17028,35,Female,Freelancer,Android,1.3,0.7,5,5.6,7,37,3,11.6
U17029,42,Female,Professional,Android,7.3,7.1,2,4.5,7,43,2,13.5
U17030,39,Female,Freelancer,iOS,5.8,2.6,7,7.9,4,27,1,6.1
U17031,41,Female,Professional,Android,5.1,3.8,7,4.3,6,50,4,11.1
U17032,50,Male,Freelancer,Android,9.1,1.5,5,8.9,5,34,6,11.5
U17033,45,Other,Student,iOS,9.9,0.5,8,8.1,5,50,3,11.3
U17034,44,Other,Business Owner,iOS,7.1,1.9,7,4.9,8,17,0,4.8
U17035,39,Male,Business Owner,Android,3.8,7.3,8,7.9,9,18,4,4.9
U17036,26,Female,Freelancer,Android,6.2,6.8,2,8.3,1,26,1,2.4
U17037,40,Male,Business Owner,iOS,11.2,5.1,1,5.6,10,43,4,11.9
U17038,34,Female,Freelancer,iOS,5.2,4.6,1,6.8,8,57,5,13.5
U17039,53,Male,Business Owner,Android,2.0,3.8,6,5.4,5,57,5,10.9
U17040,30,Other,Freelancer,Android,9.9,2.9,2,5.9,7,9,5,6.1
U17041,49,Female,Freelancer,Android,8.2,5.7,2,8.0,6,27,0,9.8
U17042,36,Male,Business Owner,Android,10.5,4.4,10,8.5,3,22,1,6.4
U17043,35,Female,Student,iOS,3.0,1.2,9,5.9,9,54,0,8.8
U17044,23,Other,Student,iOS,1.8,1.7,1,7.4,3,11,1,9.7
U17045,46,Female,Business Owner,Android,5.3,3.0,7,8.7,7,12,6,11.4
U17046,60,Male,Freelancer,iOS,6.5,3.3,9,5.4,5,60,1,2.0
U17047,23,Male,Freelancer,Android,6.3,2.3,9,6.0,4,45,2,10.2
U17048,60,Female,Business Owner,iOS,7.3,7.7,8,8.5,7,57,0,6.2
U17049,38,Male,Professional,Android,1.0,7.0,8,5.7,6,10,4,12.5
U17050,50,Other,Business Owner,iOS,10.0,5.5,4,7.7,1,49,1,3.7
U17051,25,Female,Student,Android,9.8,6.2,2,6.5,2,22,1,9.9
U17052,19,Male,Freelancer,iOS,4.7,3.3,6,5.0,1,21,5,3.1
U17053,26,Other,Professional,iOS,3.4,7.7,1,8.1,1,27,6,13.7
U17054,24,Other,Freelancer,Android,8.6,3.9,5,6.2,10,48,3,6.6
U17055,33,Female,Freelancer,iOS,6.5,3.4,4,6.9,6,42,3,9.5
U17056,22,Female,Business Owner,Android,2.8,5.1,2,9.0,10,36,5,12.7
U17057,29,Other,Freelancer,Android,9.1,4.9,7,5.4,7,18,1,7.1
U17058,41,Male,Student,iOS,11.7,4.2,3,6.8,8,24,0,6.2
U17059,22,Female,Business Owner,Android,4.4,7.0,2,8.4,4,46,2,13.4
U17060,27,Female,Student,iOS,4.3,5.5,4,4.2,6,22,0,8.9
U17061,54,Female,Business Owner,Android,7.9,1.9,5,6.5,3,8,3,12.7
U17062,33,Male,Freelancer,iOS,2.8,3.2,9,4.2,7,15,1,7.1
U17063,23,Male,Freelancer,iOS,3.5,3.0,3,8.7,1,30,5,13.2
U17064,22,Female,Professional,iOS,3.7,4.5,2,8.9,9,38,5,13.9
U17065,18,Other,Business Owner,Android,5.0,4.0,2,6.0,6,51,2,4.4
U17066,18,Female,Business Owner,iOS,3.7,7.5,7,7.4,6,47,6,3.9
U17067,39,Male,Student,Android,3.7,1.0,9,7.9,10,16,2,7.0
U17068,57,Male,Business Owner,Android,3.0,4.1,2,8.4,6,33,6,11.0
U17069,22,Male,Freelancer,Android,5.8,3.6,4,4.4,8,14,4,2.7
U17070,27,Female,Freelancer,Android,4.2,6.9,6,6.7,3,35,3,6.2
U17071,55,Female,Professional,Android,11.6,5.8,8,5.3,10,25,6,6.8
U17072,58,Other,Professional,iOS,7.4,5.7,3,4.4,8,19,5,2.0
U17073,47,Male,Professional,Android,4.7,3.0,8,6.9,1,47,6,3.1
U17074,58,Female,Business Owner,Android,6.0,5.3,2,5.5,1,15,5,6.5
U17075,39,Female,Business Owner,iOS,2.6,3.3,2,4.9,1,31,6,3.2
U17076,60,Other,Freelancer,Android,10.8,2.0,1,8.7,2,59,6,3.1
U17077,24,Male,Professional,iOS,9.5,2.2,2,5.8,3,43,3,3.0
U17078,57,Female,Business Owner,iOS,9.5,4.3,10,7.8,10,60,5,13.7
U17079,25,Other,Freelancer,Android,3.4,4.7,1,7.0,4,7,4,3.7
U17080,21,Female,Student,iOS,11.2,1.9,5,7.0,2,26,3,8.0
U17081,26,Male,Business Owner,Android,1.7,4.8,7,5.0,2,44,6,3.0
U17082,30,Female,Business Owner,iOS,8.4,0.8,2,6.8,7,14,2,3.6
U17083,23,Female,Professional,Android,8.7,2.3,3,6.1,8,60,2,2.9
U17084,29,Male,Student,Android,7.0,4.4,7,6.4,10,18,1,12.6
U17085,23,Male,Professional,iOS,10.5,2.2,1,5.0,7,45,5,12.2
U17086,23,Female,Business Owner,iOS,8.6,4.8,3,8.2,9,54,6,9.6
U17087,18,Female,Business Owner,Android,2.4,2.6,5,8.6,2,18,1,10.2
U17088,45,Other,Professional,iOS,10.4,6.5,9,5.6,6,23,5,5.1
U17089,32,Female,Freelancer,iOS,7.4,7.9,10,6.6,6,28,3,13.4
U17090,31,Male,Student,Android,10.9,1.6,10,6.9,8,40,2,4.5
U17091,21,Other,Freelancer,Android,9.6,5.5,8,4.1,10,16,1,10.1
U17092,23,Other,Business Owner,Android,3.4,3.4,5,6.5,6,35,3,3.5
U17093,42,Male,Student,Android,7.7,3.0,10,7.9,8,7,6,8.9
U17094,38,Male,Freelancer,Android,8.3,4.7,3,5.0,1,56,0,13.9
