User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U2001,36,Female,Freelancer,Android,1.2,3.3,7,5.1,2,36,1,9.7
U2002,38,Female,Freelancer,Android,3.0,2.7,1,5.4,7,54,1,4.9
U2003,24,Male,Student,iOS,5.3,6.9,5,4.0,2,53,6,13.6
U2004,23,Female,Professional,iOS,10.0,1.3,6,5.6,4,17,4,3.9
U2005,38,Female,Student,Android,4.3,1.1,10,6.6,8,24,5,3.6
U2006,60,Female,Freelancer,Android,5.3,1.5,1,8.2,3,24,3,8.1
U2007,36,Other,Professional,Android,5.7,5.1,9,5.9,9,7,5,9.0
U2008,37,Other,Freelancer,iOS,8.9,5.7,1,7.6,4,35,5,6.7
U2009,46,Female,Professional,iOS,6.7,3.6,10,5.1,10,56,3,12.4
U2010,56,Male,Student,Android,3.9,7.3,2,7.4,3,7,3,9.2
U2011,45,Female,Professional,Android,8.6,7.0,5,8.4,8,41,4,2.8
U2012,28,Female,Student,iOS,1.9,1.5,8,7.2,1,44,2,13.0
U2013,46,Male,Professional,Android,1.1,6.5,7,5.0,9,17,2,8.2
U2014,40,Female,Freelancer,Android,5.5,6.4,6,5.4,10,6,5,3.7
U2015,46,Female,Professional,Android,11.6,6.6,8,4.9,5,34,1,4.8
U2016,20,Other,Student,iOS,8.9,7.2,2,5.7,10,42,6,9.9
U2017,40,Male,Freelancer,iOS,6.4,3.5,9,4.5,7,32,2,6.0
U2018,57,Other,Freelancer,Android,5.0,2.1,4,7.5,9,5,4,3.5
U2019,45,Male,Business Owner,Android,9.6,2.8,5,7.3,6,14,0,3.4
U2020,35,Female,Freelancer,iOS,8.9,1.0,10,4.6,3,18,2,13.6
U2021,58,Male,Student,Android,10.6,1.7,3,8.4,3,25,4,12.7
U2022,21,Other,Business Owner,Android,8.2,7.6,9,5.3,8,25,6,2.1
U2023,22,Female,Freelancer,Android,3.9,3.1,3,6.6,10,17,2,4.7
U2024,60,Other,Professional,Android,11.4,1.0,5,6.1,10,5,4,12.9
U2025,58,Female,Student,Android,7.6,3.1,8,6.8,1,57,1,10.2
U2026,43,Male,Professional,iOS,10.9,1.8,6,5.0,5,39,4,4.0
U2027,41,Other,Business Owner,iOS,8.4,5.7,7,6.6,9,13,3,12.8
U2028,50,Female,Professional,Android,7.7,1.0,2,7.7,4,26,4,8.2
U2029,28,Male,Student,iOS,11.7,6.9,9,5.1,9,21,6,13.0
U2030,19,Female,Business Owner,Android,6.8,3.9,2,8.1,5,7,2,4.1
U2031,27,Other,Professional,Android,5.8,6.8,1,4.4,5,56,5,5.2
U2032,56,Male,Student,iOS,8.7,4.0,2,5.2,3,22,4,10.5
U2033,46,Female,Freelancer,Android,7.6,3.3,8,7.0,4,32,1,9.1
U2034,20,Male,Freelancer,iOS,2.4,5.2,8,7.1,6,18,0,5.7
U2035,26,Male,Business Owner,Android,11.8,3.1,10,7.5,8,24,2,9.0
U2036,22,Female,Professional,iOS,7.9,5.2,8,8.2,7,16,3,9.2
U2037,33,Other,Business Owner,Android,10.7,5.0,3,8.8,3,8,2,8.1
U2038,59,Male,Freelancer,iOS,2.4,4.2,2,8.3,6,37,0,10.5
U2039,41,Female,Freelancer,Android,7.1,1.4,8,5.4,3,25,5,12.4
U2040,41,Female,Professional,Android,8.3,4.0,5,6.6,1,46,4,13.1
U2041,42,Other,Freelancer,iOS,4.2,5.9,3,4.5,9,39,6,10.3
U2042,54,Female,Business Owner,iOS,3.2,5.6,9,7.1,4,11,3,13.0
U2043,20,Other,Business Owner,Android,3.6,6.2,3,5.5,1,14,2,6.5
U2044,56,Male,Student,Android,2.2,5.9,7,4.4,7,6,6,6.5
U2045,27,Female,Student,iOS,2.8,6.6,8,7.9,10,13,2,10.2
U2046,46,Other,Freelancer,iOS,6.3,7.9,5,6.0,6,7,4,5.8
U2047,41,Other,Business Owner,iOS,2.1,5.3,5,7.0,2,26,1,5.0
U2048,41,Male,Student,iOS,10.0,6.4,1,8.2,1,12,4,7.1
U2049,46,Male,Student,Android,9.8,4.2,3,5.2,7,60,2,9.9
U2050,22,Male,Business Owner,Android,10.1,7.6,2,4.8,4,8,6,10.3
U2051,54,Female,Student,iOS,1.8,2.6,1,5.6,5,34,0,2.6
U2052,26,Other,Student,iOS,11.0,5.3,3,7.2,3,19,2,10.2
U2053,51,Male,Student,Android,7.5,1.0,6,8.9,10,7,2,8.4
U2054,41,Male,Business Owner,iOS,1.8,5.7,7,5.2,8,55,5,9.2
U2055,43,Other,Freelancer,Android,11.4,3.0,1,7.1,8,43,5,9.0
U2056,38,Male,Freelancer,iOS,6.2,1.6,7,5.7,6,57,2,11.9
U2057,59,Male,Professional,iOS,2.0,5.5,5,7.4,6,15,5,5.5
U2058,35,Male,Freelancer,Android,10.6,1.2,5,5.2,6,31,0,12.1
U2059,33,Other,Freelancer,iOS,6.8,2.9,3,8.3,7,37,4,6.8
U2060,25,Female,Business Owner,iOS,11.7,5.5,6,8.2,9,29,2,2.2
U2061,19,Other,Student,iOS,2.8,3.5,8,8.8,10,57,2,9.4
U2062,29,Other,Freelancer,Android,4.5,7.7,3,6.7,6,8,2,3.9
U2063,49,Male,Student,iOS,9.2,5.2,7,8.3,5,58,0,6.1
U2064,51,Male,Freelancer,Android,1.9,4.3,6,5.8,5,58,0,12.0
U2065,42,Male,Freelancer,Android,11.9,6.6,9,7.8,2,19,0,8.2
U2066,53,Female,Student,iOS,4.1,2.4,3,5.1,2,29,3,3.8
U2067,25,Female,Student,iOS,6.6,4.6,5,7.6,3,25,2,3.1
U2068,34,Male,Student,Android,3.8,2.1,7,4.9,1,31,6,7.0
U2069,34,Male,Student,iOS,6.6,6.4,10,8.0,10,35,6,4.6
U2070,46,Female,Professional,Android,4.9,7.0,1,7.1,1,55,5,5.8
U2071,31,Other,Student,Android,7.1,5.6,1,6.2,8,36,4,13.0
U2072,57,Other,Business Owner,iOS,1.2,2.4,2,7.7,2,9,5,3.4
U2073,36,Male,Student,iOS,1.1,5.7,7,4.8,3,7,3,7.7
