User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U33001,55,Male,Freelancer,iOS,6.5,1.0,6,4.9,9,25,0,4.6
U33002,55,Male,Professional,iOS,4.7,0.5,3,5.5,1,59,5,3.3
U33003,21,Other,Freelancer,Android,7.7,5.5,5,6.2,10,46,5,10.6
U33004,43,Female,Freelancer,iOS,3.8,6.0,3,7.6,6,43,6,6.7
U33005,51,Other,Student,iOS,6.2,5.6,7,4.4,10,52,4,2.1
U33006,28,Other,Professional,iOS,1.8,1.0,8,5.6,3,57,1,11.7
U33007,21,Other,Business Owner,Android,9.3,4.7,3,7.6,3,58,6,6.8
U33008,25,Male,Freelancer,Android,1.8,4.9,10,4.3,7,31,2,8.7
U33009,31,Male,Professional,iOS,11.7,6.6,6,7.4,8,18,1,6.5
U33010,59,Female,Business Owner,iOS,9.1,7.3,5,6.4,10,31,4,5.5
U33011,18,Female,Student,Android,8.8,1.0,2,8.4,4,28,5,2.6
U33012,49,Female,Business Owner,Android,5.3,3.0,5,4.0,2,24,4,11.0
U33013,22,Other,Freelancer,Android,7.0,7.3,5,4.8,1,58,4,10.4
U33014,45,Other,Student,Android,4.2,7.0,10,6.2,8,45,6,13.0
U33015,49,Other,Freelancer,Android,2.9,6.8,3,8.7,10,55,1,12.5
U33016,40,Male,Freelancer,Android,5.0,5.1,10,7.3,5,58,4,2.6
U33017,30,Female,Professional,Android,10.0,6.1,8,6.6,1,30,3,8.3
U33018,28,Male,Business Owner,iOS,10.3,7.4,5,7.9,8,42,2,3.6
U33019,25,Other,Professional,Android,5.9,6.3,4,5.3,7,24,6,6.0
U33020,42,Other,Professional,iOS,2.9,0.9,10,7.9,2,40,3,7.2
U33021,32,Other,Business Owner,Android,4.6,7.1,4,4.8,2,19,4,3.0
U33022,30,Male,Business Owner,Android,10.3,3.6,2,5.8,5,55,0,3.9
U33023,44,Female,Student,iOS,10.4,6.2,4,8.8,4,55,6,7.4
U33024,25,Other,Professional,iOS,10.8,1.2,5,7.4,7,6,6,2.9
U33025,33,Female,Student,Android,9.9,1.4,7,6.2,10,53,1,7.5
U33026,22,Female,Freelancer,iOS,4.3,1.6,6,6.5,1,46,1,3.4
U33027,48,Other,Student,Android,8.6,7.2,4,5.8,10,36,4,3.3
U33028,57,Female,Professional,Android,1.2,1.9,7,8.3,8,28,4,10.7
U33029,51,Female,Freelancer,iOS,4.1,7.9,1,4.9,4,58,1,3.7
U33030,39,Other,Student,iOS,9.0,1.5,9,7.1,7,42,5,9.1
U33031,35,Other,Professional,Android,4.7,7.0,6,4.5,1,42,3,10.4
U33032,55,Other,Freelancer,iOS,10.2,5.1,9,5.3,6,46,3,11.9
U33033,20,Male,Freelancer,Android,8.2,5.5,5,8.2,10,27,2,10.2
U33034,20,Female,Business Owner,iOS,11.5,6.6,10,6.5,8,29,2,10.3
U33035,37,Male,Business Owner,Android,5.7,7.8,2,4.0,1,12,1,12.6
U33036,56,Male,Freelancer,iOS,10.0,2.7,3,8.2,7,20,0,13.5
U33037,21,Female,Business Owner,Android,10.1,5.9,2,4.6,3,21,1,10.5
U33038,33,Other,Student,iOS,11.9,6.4,4,5.7,4,27,0,2.0
U33039,48,Female,Student,Android,3.9,5.9,4,4.3,1,24,6,6.9
U33040,28,Female,Freelancer,Android,7.2,5.8,10,5.0,7,58,1,5.8
U33041,56,Female,Student,iOS,1.7,6.8,1,7.1,3,23,6,3.5
U33042,40,Female,Student,iOS,6.4,6.5,6,7.2,1,22,1,5.5
U33043,36,Male,Student,Android,6.3,7.6,10,7.6,9,38,1,5.1
U33044,41,Female,Student,Android,5.0,7.1,2,4.5,8,40,0,9.8
